Seed,Pair1,Pair2,Pair3,Pair4,Pair5,Pair6,Pair7,
GF3-GF4,GF4-GF5,GG3-GG4,GG4-GG5,GG2-GG3,GH3-GH4,GG1-GG2,GH2-GH3
GF4-GF5,GF3-GF4,GG4-GG5,GG3-GG4,GH3-GH4,GG2-GG3,GH2-GH3,GG1-GG2
GG1-GG2,GH1-GH2,GG2-GG3,GH2-GH3,GG3-GG4,GH3-GH4,GF3-GF4,TL3-TL4
GG2-GG3,GG1-GG2,GH2-GH3,GG3-GG4,GH3-GH4,GH1-GH2,GF3-GF4,GG4-GG5
GG3-GG4,GG4-GG5,GG2-GG3,GF3-GF4,GH3-GH4,GF4-GF5,GH2-GH3,GG1-GG2
GG4-GG5,GG3-GG4,GF4-GF5,GF3-GF4,GH3-GH4,GG2-GG3,GH2-GH3,GG1-GG2
GH1-GH2,GH2-GH3,GG1-GG2,GG2-GG3,TL3-TL4,GH3-GH4,TBA3-TBA4,GG3-GG4
GH2-GH3,GH1-GH2,GH3-GH4,GG2-GG3,GG1-GG2,GG3-GG4,TL3-TL4,GG4-GG5
GH3-GH4,GH2-GH3,GG3-GG4,GG2-GG3,GG4-GG5,GH1-GH2,GF3-GF4,GG1-GG2
TL1-TL2,TL2-TL3,TBA1-TBA2,TBA2-TBA3,TBA3-TBA4,TL3-TL4,GH1-GH2,GH2-GH3
TL2-TL3,TL1-TL2,TL3-TL4,TBA2-TBA3,TBA1-TBA2,TBA3-TBA4,GH1-GH2,GH2-GH3
TL3-TL4,TL2-TL3,TL1-TL2,GH1-GH2,TBA3-TBA4,GH2-GH3,TBA2-TBA3,TBA1-TBA2
TBA1-TBA2,TBA2-TBA3,TL1-TL2,TBA3-TBA4,TL2-TL3,TL3-TL4,TBB2-TBB3,GH1-GH2
TBA2-TBA3,TBA1-TBA2,TBA3-TBA4,TL1-TL2,TL2-TL3,TL3-TL4,GH1-GH2,TBB2-TBB3
TBA3-TBA4,TBA2-TBA3,TBA1-TBA2,TL1-TL2,TL2-TL3,TL3-TL4,GH1-GH2,GG1-GG2
TBB1-TBB2,TBB2-TBB3,TBA1-TBA2,TBA2-TBA3,GG1-GG2,TBA3-TBA4,GG2-GG3,TL1-TL2
TBB2-TBB3,TBB1-TBB2,GG1-GG2,TBA1-TBA2,TBA2-TBA3,TBA3-TBA4,GH1-GH2,GG2-GG3
