Seed,Pair1,Pair2,Pair3,Pair4,Pair5,Pair6,Pair7,
GD2-GD3,GD3-GD4,GE2-GE3,GE3-GE4,GD4-GD5,GE4-GE5,GG5-GG6,GE7-GE8
GD3-GD4,GD4-GD5,GD2-GD3,GE3-GE4,GE2-GE3,GE4-GE5,GG5-GG6,GE7-GE8
GD4-GD5,GD3-GD4,GE4-GE5,GE3-GE4,GD2-GD3,GE2-GE3,GE7-GE8,GG5-GG6
GE2-GE3,GE3-GE4,GD2-GD3,GD3-GD4,GE4-GE5,GD4-GD5,GG5-GG6,TBB2-TBB3
GE3-GE4,GE2-GE3,GE4-GE5,GD3-GD4,GD4-GD5,GD2-GD3,GG5-GG6,GG6-GG7
GE4-GE5,GE3-GE4,GD4-GD5,GD3-GD4,GE2-GE3,GD2-GD3,GG5-GG6,GE7-GE8
GE7-GE8,GF7-GF8,GG6-GG7,GG5-GG6,OPL4-OPL5,GE4-GE5,OPL5-OPL6,GD4-GD5
GF7-GF8,GE7-GE8,GG6-GG7,GG5-GG6,GH6-GH7,GH5-GH6,TBC5-TBC6,OPL3-OPL4
GG5-GG6,GG6-GG7,GH5-GH6,GH6-GH7,TBC5-TBC6,GF7-GF8,TBC4-TBC5,GE4-GE5
GG6-GG7,GG5-GG6,GH6-GH7,GH5-GH6,GF7-GF8,TBC5-TBC6,TBC4-TBC5,GE7-GE8
GH5-GH6,TBC5-TBC6,GH6-GH7,GG5-GG6,GG6-GG7,TBC4-TBC5,TBC3-TBC4,GF7-GF8
GH6-GH7,TBC5-TBC6,GH5-GH6,TBC4-TBC5,GG6-GG7,GG5-GG6,TBC3-TBC4,GF7-GF8
OPL2-OPL3,OPL3-OPL4,OPL4-OPL5,TBD3-TBD4,TBD4-TBD5,OPL5-OPL6,TBD5-TBD6,TBC1-TBC2
OPL3-OPL4,OPL4-OPL5,OPL2-OPL3,OPL5-OPL6,GF7-GF8,GE7-GE8,TBD4-TBD5,TBD3-TBD4
OPL4-OPL5,OPL5-OPL6,OPL3-OPL4,OPL2-OPL3,GF7-GF8,GE7-GE8,GG6-GG7,TBD4-TBD5
OPL5-OPL6,OPL4-OPL5,OPL3-OPL4,OPL2-OPL3,GE7-GE8,GF7-GF8,GG6-GG7,TBD4-TBD5
TBB1-TBB2,TBB2-TBB3,GH5-GH6,TBC4-TBC5,TBC5-TBC6,TBC3-TBC4,GG5-GG6,GH6-GH7
TBB2-TBB3,TBB1-TBB2,GH5-GH6,TBC5-TBC6,GG5-GG6,TBC4-TBC5,GH6-GH7,GG6-GG7
TBC1-TBC2,TBD4-TBD5,TBD3-TBD4,TBD5-TBD6,TBC3-TBC4,TBC4-TBC5,OPL2-OPL3,GH6-GH7
TBC3-TBC4,TBC4-TBC5,TBD5-TBD6,GH6-GH7,TBD4-TBD5,TBC5-TBC6,TBC1-TBC2,GH5-GH6
TBC4-TBC5,TBC3-TBC4,GH6-GH7,TBC5-TBC6,GH5-GH6,TBD5-TBD6,GG6-GG7,GG5-GG6
TBC5-TBC6,GH5-GH6,GH6-GH7,TBC4-TBC5,GG6-GG7,GG5-GG6,TBC3-TBC4,TBD5-TBD6
TBD3-TBD4,TBD4-TBD5,TBC1-TBC2,TBD5-TBD6,OPL2-OPL3,TBC3-TBC4,OPL3-OPL4,TBC4-TBC5
TBD4-TBD5,TBD5-TBD6,TBD3-TBD4,TBC1-TBC2,TBC3-TBC4,OPL2-OPL3,TBC4-TBC5,GH6-GH7
TBD5-TBD6,TBD4-TBD5,TBC3-TBC4,TBC1-TBC2,TBC4-TBC5,TBD3-TBD4,GH6-GH7,TBC5-TBC6
