electrode_array,name,focus_relat,supplier,x,y,z,ch. in rec 1
TBA2,(TBA2),l,AdTech,59,118,19,2: TBA2
TBA1,(TBA1),l,AdTech,66,125,19,1: TBA1
TBA3,(TBA3),l,AdTech,47,115,19,3: TBA3
TBA4,(TBA4),l,AdTech,38,113,24,4: TBA4
TBB3,(TBB3),l,AdTech,52,107,29,7: TBB3
TBB1,(TBB1),l,AdTech,73,109,37,5: TBB1
TBB2,(TBB2),l,AdTech,64,106,32,6: TBB2
TBB4,(TBB4),l,AdTech,40,108,27,8: TBB4
TBC6,(TBC6),l,AdTech,35,80,41,14: TBC6
TBC5,(TBC5),l,AdTech,32,90,40,13: TBC5
TBC3,(TBC3),l,AdTech,38,69,46,11: TBC3
TBC2,(TBC2),l,AdTech,41,58,49,10: TBC2
TBC1,(TBC1),l,AdTech,43,48,54,9: TBC1
TBC4,(TBC4),l,AdTech,34,78,44,12: TBC4
TBD2,(TBD2),l,AdTech,32,57,66,16: TBD2
TBD3,(TBD3),l,AdTech,26,65,64,17: TBD3
TBD6,(TBD6),l,AdTech,23,98,44,20: TBD6
TBD4,(TBD4),l,AdTech,23,73,56,18: TBD4
TBD1,(TBD1),l,AdTech,39,49,75,15: TBD1
TBD5,(TBD5),l,AdTech,23,84,49,19: TBD5
TLA3,(TLA3),l,AdTech,49,132,15,23: TLA3
TLA1,(TLA1),l,AdTech,70,137,20,21: TLA1
TLA2,(TLA2),l,AdTech,63,136,17,22: TLA2
TLA4,(TLA4),l,AdTech,40,128,19,24: TLA4
TLB3,(TLB3),l,AdTech,33,140,31,27: TLB3
TLB4,(TLB4),l,AdTech,32,128,33,28: TLB4
TLB1,(TLB1),l,AdTech,48,155,28,25: TLB1
TLB2,(TLB2),l,AdTech,38,147,28,26: TLB2
TLC7,(TLC7),l,AdTech,22,139,84,35: TLC7
TLC5,(TLC5),l,AdTech,28,134,48,33: TLC5
TLC8,(TLC8),l,AdTech,20,134,73,36: TLC8
TLC9,(TLC9),l,AdTech,20,130,63,37: TLC9
TLC3,(TLC3),l,AdTech,24,144,69,31: TLC3
TLC4,(TLC4),l,AdTech,25,137,59,32: TLC4
TLC1,(TLC1),l,AdTech,28,151,92,29: TLC1
TLC2,(TLC2),l,AdTech,25,149,80,30: TLC2
TLC6,(TLC6),l,AdTech,25,142,96,34: TLC6
TLC10,(TLC10),l,AdTech,21,124,54,38: TLC10
PO1,(PO1),l,AdTech,14,83,88,39: PO1
PO2,(PO2),l,AdTech,12,90,79,40: PO2
PO3,(PO3),l,AdTech,12,96,69,41: PO3
PO10,(PO10),l,AdTech,23,100,44,48: PO10
PO7,(PO7),l,AdTech,15,81,72,45: PO7
PO8,(PO8),l,AdTech,16,87,61,46: PO8
PO6,(PO6),l,AdTech,-,-,-,44: PO6
PO5,(PO5),l,AdTech,-,-,-,43: PO5
PO4,(PO4),l,AdTech,15,103,59,42: PO4
PO9,(PO9),l,AdTech,18,93,53,47: PO9
HR10,(HR10),e,AdTech,67,120,42,58: HR10
HR11,(HR11),e,AdTech,-,-,-,59: HR11
HR14,(HR14),e,AdTech,68,104,52,62: HR14
HR6,(HR6),l,AdTech,64,133,32,54: HR6
HR8,(HR8),l,AdTech,-,-,-,56: HR8
HR2,(HR2),l,AdTech,-,-,-,50: HR2
HR4,(HR4),l,AdTech,64,138,29,52: HR4
HR5,(HR5),l,AdTech,-,-,-,53: HR5
HR9,(HR9),e,AdTech,66,124,39,57: HR9
HR1,(HR1),l,AdTech,62,147,20,49: HR1
HR3,(HR3),l,AdTech,62,142,25,51: HR3
HR7,(HR7),l,AdTech,65,129,36,55: HR7
HR12,(HR12),i,AdTech,67,115,45,60: HR12
HR13,(HR13),e,AdTech,67,110,49,61: HR13
