electrode_array,name,focus_relat,supplier,x,y,z,ch. in rec 1
GG5,(GG5),e,AdTech,35,141,68,53: GG5
GE8,(GE8),l,AdTech,40,135,106,40: GE8
GG3,(GG3),i,AdTech,35,131,49,51: GG3
GF3,(GF3),e,AdTech,31,121,55,43: GF3
GE7,(GE7),e,AdTech,36,130,98,39: GE7
GF1,(GF1),e,AdTech,38,111,37,41: GF1
GB2,(GB2),e,AdTech,31,78,67,10: GB2
GE4,(GE4),e,AdTech,30,117,69,36: GE4
GE5,(GE5),e,AdTech,33,121,80,37: GE5
GF5,(GF5),e,AdTech,32,131,74,45: GF5
GF6,(GF6),e,AdTech,34,136,83,46: GF6
GA1,(GA1),e,AdTech,35,64,63,1: GA1
GB3,(GB3),e,AdTech,32,83,77,11: GB3
GB4,(GB4),e,AdTech,33,87,88,12: GB4
GB6,(GB6),e,AdTech,35,98,107,14: GB6
GB7,(GB7),e,AdTech,39,103,115,15: GB7
GC1,(GC1),e,AdTech,32,83,52,17: GC1
GC2,(GC2),e,AdTech,30,88,61,18: GC2
GC5,(GC5),e,AdTech,32,103,92,21: GC5
GC3,(GC3),e,AdTech,30,92,72,19: GC3
GC6,(GC6),e,AdTech,34,107,101,22: GC6
GC7,(GC7),e,AdTech,38,111,109,23: GC7
GD1,(GD1),e,AdTech,33,92,48,25: GD1
GD2,(GD2),e,AdTech,29,98,55,26: GD2
GD4,(GD4),e,AdTech,30,107,76,28: GD4
GD5,(GD5),e,AdTech,32,112,85,29: GD5
GD6,(GD6),e,AdTech,33,116,95,30: GD6
GH3,(GH3),i,AdTech,40,140,43,59: GH3
GH7,(GH7),e,AdTech,39,159,80,63: GH7
GH8,(GH8),l,AdTech,43,164,90,64: GH8
GA3,(GA3),e,AdTech,34,74,82,3: GA3
GH6,(GH6),e,AdTech,37,155,71,62: GH6
GD8,(GD8),l,AdTech,40,126,111,32: GD8
GA4,(GA4),e,AdTech,34,78,93,4: GA4
GA6,(GA6),e,AdTech,36,88,112,6: GA6
GA7,(GA7),e,AdTech,40,93,121,7: GA7
GA8,(GA8),l,AdTech,45,100,129,8: GA8
GE1,(GE1),e,AdTech,35,103,41,33: GE1
GE2,(GE2),e,AdTech,30,107,50,34: GE2
GF8,(GF8),l,AdTech,41,144,100,48: GF8
GG1,(GG1),i,AdTech,40,121,30,49: GG1
GH4,(GH4),e,AdTech,40,144,54,60: GH4
GG4,(GG4),i,AdTech,35,134,59,52: GG4
GG7,(GG7),e,AdTech,38,150,86,55: GG7
GG8,(GG8),l,AdTech,42,154,95,56: GG8
GH1,(GH1),i,AdTech,42,130,25,57: GH1
GF4,(GF4),i,AdTech,32,126,65,44: GF4
GA2,(GA2),e,AdTech,34,69,73,2: GA2
GA5,(GA5),e,AdTech,34,82,103,5: GA5
GB1,(GB1),e,AdTech,32,73,56,9: GB1
GB5,(GB5),e,AdTech,33,93,96,13: GB5
GB8,(GB8),l,AdTech,44,108,123,16: GB8
GC4,(GC4),e,AdTech,32,97,82,20: GC4
GC8,(GC8),l,AdTech,42,117,116,24: GC8
GD3,(GD3),e,AdTech,30,102,65,27: GD3
GD7,(GD7),e,AdTech,36,121,103,31: GD7
GE3,(GE3),e,AdTech,30,111,60,35: GE3
GE6,(GE6),e,AdTech,33,127,89,38: GE6
GF2,(GF2),e,AdTech,33,117,46,42: GF2
GF7,(GF7),e,AdTech,37,140,92,47: GF7
GG2,(GG2),i,AdTech,36,126,38,50: GG2
GG6,(GG6),e,AdTech,35,145,77,54: GG6
GH2,(GH2),i,AdTech,40,135,34,58: GH2
GH5,(GH5),e,AdTech,38,149,62,61: GH5
FL2,(FL2),e,AdTech,92,197,40,66: FL2
FL4,(FL4),e,AdTech,72,191,40,68: FL4
FL3,(FL3),e,AdTech,82,196,37,67: FL3
FL6,(FL6),e,AdTech,57,178,45,70: FL6
FL1,(FL1),e,AdTech,96,192,50,65: FL1
FL5,(FL5),e,AdTech,64,184,42,69: FL5
TL4,(TL4),i,AdTech,49,146,27,74: TL4
TL1,(TL1),i,AdTech,72,137,23,71: TL1
TL3,(TL3),i,AdTech,58,147,22,73: TL3
TL2,(TL2),i,AdTech,67,144,20,72: TL2
FBA1,(FBA1),e,AdTech,73,167,41,75: FBA1
FBA3,(FBA3),e,AdTech,56,174,44,77: FBA3
FBA4,(FBA4),e,AdTech,46,177,45,78: FBA4
FBA2,(FBA2),e,AdTech,65,169,42,76: FBA2
FBB1,(FBB1),e,AdTech,80,148,38,79: FBB1
FBB3,(FBB3),e,AdTech,63,160,39,81: FBB3
FBB4,(FBB4),e,AdTech,56,165,40,82: FBB4
FBB2,(FBB2),e,AdTech,72,154,39,80: FBB2
TBA2,(TBA2),i,AdTech,71,130,19,84: TBA2
TBA3,(TBA3),i,AdTech,65,129,14,85: TBA3
TBA4,(TBA4),i,AdTech,53,129,14,86: TBA4
TBA1,(TBA1),i,AdTech,74,132,29,83: TBA1
TBB4,(TBB4),e,AdTech,49,110,31,90: TBB4
TBB2,(TBB2),i,AdTech,66,102,38,88: TBB2
TBB3,(TBB3),e,AdTech,57,106,35,89: TBB3
TBB1,(TBB1),e,AdTech,74,99,44,87: TBB1
TBC2,(TBC2),e,AdTech,80,46,49,92: TBC2
TBC3,(TBC3),e,AdTech,73,53,52,93: TBC3
TBC6,(TBC6),e,AdTech,54,76,47,96: TBC6
TBC5,(TBC5),e,AdTech,59,67,50,95: TBC5
TBC1,(TBC1),e,AdTech,88,38,49,91: TBC1
TBC4,(TBC4),e,AdTech,66,61,52,94: TBC4
TBD4,(TBD4),e,AdTech,59,56,49,100: TBD4
TBD5,(TBD5),e,AdTech,52,64,49,101: TBD5
TBD3,(TBD3),e,AdTech,66,49,49,99: TBD3
TBD1,(TBD1),e,AdTech,81,34,48,97: TBD1
TBD2,(TBD2),e,AdTech,73,41,48,98: TBD2
TBD6,(TBD6),e,AdTech,46,71,47,102: TBD6
TRA1,(TRA1),l,AdTech,81,107,126,103: TRA1
TRA2,(TRA2),l,AdTech,76,109,128,104: TRA2
TRA6,(TRA6),l,AdTech,57,114,138,108: TRA6
TRA5,(TRA5),l,AdTech,62,111,136,107: TRA5
TRA4,(TRA4),l,AdTech,66,111,133,106: TRA4
TRA3,(TRA3),l,AdTech,71,109,131,105: TRA3
HR3,(HR3),e,AdTech,75,117,43,111: HR3
HR2,(HR2),e,AdTech,74,122,40,110: HR2
HR10,(HR10),e,AdTech,74,84,68,118: HR10
HR7,(HR7),e,AdTech,76,99,56,115: HR7
HR6,(HR6),e,AdTech,76,104,53,114: HR6
