electrode_array,name,focus_relat,supplier,x,y,z,ch. in rec 1
TLA1,(TLA1),e,AdTech,156,134,86,1: TLA1
TLA4,(TLA4),e,AdTech,154,111,60,4: TLA4
TLA2,(TLA2),e,AdTech,156,126,76,2: TLA2
TLA3,(TLA3),e,AdTech,154,120,67,3: TLA3
TLB3,(TLB3),e,AdTech,153,108,72,7: TLB3
TLB1,(TLB1),e,AdTech,159,118,97,5: TLB1
TLB4,(TLB4),e,AdTech,155,108,60,8: TLB4
TLB2,(TLB2),e,AdTech,156,113,84,6: TLB2
TLC3,(TLC3),e,AdTech,154,79,105,11: TLC3
TLC5,(TLC5),e,AdTech,156,93,84,13: TLC5
TLC4,(TLC4),e,AdTech,156,86,94,12: TLC4
TLC1,(TLC1),e,AdTech,142,67,121,9: TLC1
TLC2,(TLC2),e,AdTech,149,72,114,10: TLC2
TLC6,(TLC6),e,AdTech,153,98,74,14: TLC6
TRA1,(TRA1),i,AdTech,50,153,37,15: TRA1
TRA2,(TRA2),i,AdTech,41,146,37,16: TRA2
TRA3,(TRA3),i,AdTech,37,136,37,17: TRA3
TRA4,(TRA4),i,AdTech,35,123,39,18: TRA4
TRB2,(TRB2),e,AdTech,31,141,71,20: TRB2
TRB1,(TRB1),e,AdTech,32,149,80,19: TRB1
TRB3,(TRB3),e,AdTech,30,133,63,21: TRB3
TRB4,(TRB4),e,AdTech,30,126,56,22: TRB4
TRC6,(TRC6),e,AdTech,25,98,58,28: TRC6
TRC5,(TRC5),e,AdTech,22,93,70,27: TRC5
TRC3,(TRC3),e,AdTech,25,81,91,25: TRC3
TRC1,(TRC1),e,AdTech,32,73,113,23: TRC1
TRC2,(TRC2),e,AdTech,28,78,103,24: TRC2
TRC4,(TRC4),e,AdTech,22,87,81,26: TRC4
BRA3,(BRA3),i,AdTech,53,131,22,31: BRA3
BRA2,(BRA2),i,AdTech,62,137,26,30: BRA2
BRA4,(BRA4),i,AdTech,45,124,24,32: BRA4
BRA1,(BRA1),i,AdTech,67,139,32,29: BRA1
BRB2,(BRB2),i,AdTech,67,118,32,34: BRB2
BRB3,(BRB3),i,AdTech,59,113,32,35: BRB3
BRB4,(BRB4),i,AdTech,48,110,34,36: BRB4
BRB1,(BRB1),i,AdTech,73,121,40,33: BRB1
BRC2,(BRC2),e,AdTech,50,50,51,38: BRC2
BRC3,(BRC3),e,AdTech,45,60,49,39: BRC3
BRC5,(BRC5),e,AdTech,37,82,44,41: BRC5
BRC6,(BRC6),e,AdTech,34,92,44,42: BRC6
BRC1,(BRC1),e,AdTech,55,39,51,37: BRC1
BRC4,(BRC4),e,AdTech,40,71,47,40: BRC4
BLA1,(BLA1),i,AdTech,127,138,20,43: BLA1
BLA3,(BLA3),e,AdTech,144,126,29,45: BLA3
BLA4,(BLA4),e,AdTech,150,119,37,46: BLA4
BLA2,(BLA2),e,AdTech,136,132,24,44: BLA2
BLB1,(BLB1),i,AdTech,116,119,36,47: BLB1
BLB3,(BLB3),e,AdTech,135,110,36,49: BLB3
BLB4,(BLB4),e,AdTech,143,110,34,50: BLB4
BLB2,(BLB2),i,AdTech,125,114,35,48: BLB2
BLC4,(BLC4),i,AdTech,130,85,47,54: BLC4
BLC5,(BLC5),l,AdTech,139,93,45,55: BLC5
BLC6,(BLC6),l,AdTech,147,101,44,56: BLC6
BLC1,(BLC1),i,AdTech,110,64,61,51: BLC1
BLC2,(BLC2),i,AdTech,117,71,56,52: BLC2
BLC3,(BLC3),i,AdTech,124,79,51,53: BLC3
HR2,(HR2),i,AdTech,-,-,-,59: HR2
HR3,(HR3),i,AdTech,-,-,-,60: HR3
HR4,(HR4),i,AdTech,-,-,-,61: HR4
HR6,(HR6),i,AdTech,-,-,-,63: HR6
HR7,(HR7),i,AdTech,-,-,-,64: HR7
HR8,(HR8),i,AdTech,-,-,-,65: HR8
HR9,(HR9),i,AdTech,-,-,-,66: HR9
HR10,(HR10),i,AdTech,-,-,-,67: HR10
HR5,(HR5),i,AdTech,-,-,-,62: HR5
HR1,(HR1),i,AdTech,-,-,-,58: HR1
