electrode_array,name,focus_relat,supplier,x,y,z,ch. in rec 1
HRA2,(HRA2),e,AdTech,72,128,45,2: HRA2
HRA3,(HRA3),e,AdTech,64,125,48,3: HRA3
HRA4,(HRA4),l,AdTech,47,117,55,4: HRA4
HRA5,(HRA5),l,AdTech,39,114,56,5: HRA5
HRA1,(HRA1),e,AdTech,79,132,41,1: HRA1
HRB3,(HRB3),i,AdTech,57,113,52,8: HRB3
HRB5,(HRB5),l,AdTech,32,96,59,10: HRB5
HRB4,(HRB4),l,AdTech,41,102,57,9: HRB4
HRB1,(HRB1),e,AdTech,74,120,45,6: HRB1
HRB2,(HRB2),i,AdTech,66,117,47,7: HRB2
HRC5,(HRC5),l,AdTech,28,83,61,15: HRC5
HRC4,(HRC4),l,AdTech,36,88,60,14: HRC4
HRC3,(HRC3),e,AdTech,52,100,58,13: HRC3
HRC1,(HRC1),e,AdTech,69,110,51,11: HRC1
HRC2,(HRC2),i,AdTech,61,105,55,12: HRC2
HLA4,(HLA4),l,AdTech,142,116,59,19: HLA4
HLA3,(HLA3),l,AdTech,127,120,56,18: HLA3
HLA2,(HLA2),l,AdTech,119,123,52,17: HLA2
HLA5,(HLA5),l,AdTech,151,114,61,20: HLA5
HLA1,(HLA1),l,AdTech,109,127,47,16: HLA1
HLB1,(HLB1),l,AdTech,116,113,49,21: HLB1
HLB5,(HLB5),l,AdTech,157,96,62,25: HLB5
HLB3,(HLB3),l,AdTech,132,107,54,23: HLB3
HLB4,(HLB4),l,AdTech,149,100,58,24: HLB4
HLB2,(HLB2),l,AdTech,124,110,52,22: HLB2
HLC4,(HLC4),l,AdTech,151,83,63,29: HLC4
HLC2,(HLC2),l,AdTech,126,97,59,27: HLC2
HLC3,(HLC3),l,AdTech,134,92,60,28: HLC3
HLC5,(HLC5),l,AdTech,159,79,67,30: HLC5
HLC1,(HLC1),l,AdTech,118,101,58,26: HLC1
