electrode_array,name,artifact,supplier,x,y,z,ch. in rec 1
GB1,(GB1),e,AdTech,116,173,119,9: GB1
GD5,(GD5),e,AdTech,138,126,120,29: GD5
GE8,(GE8),e,AdTech,147,93,121,40: GE8
GF5,(GF5),e,AdTech,154,123,104,45: GF5
GC5,(GC5),e,AdTech,128,128,126,21: GC5
GF3,(GF3),e,AdTech,152,143,93,43: GF3
GB2,(GB2),e,AdTech,118,162,121,10: GB2
GB3,(GB3),e,AdTech,118,151,124,11: GB3
GB4,(GB4),e,AdTech,117,140,129,12: GB4
GB5,(GB5),e,AdTech,117,128,132,13: GB5
GB6,(GB6),e,AdTech,117,118,135,14: GB6
GB7,(GB7),e,AdTech,117,107,138,15: GB7
GB8,(GB8),e,AdTech,116,96,139,16: GB8
GF1,(GF1),e,AdTech,147,162,83,41: GF1
GD6,(GD6),e,AdTech,138,116,122,30: GD6
GC1,(GC1),e,AdTech,126,172,112,17: GC1
GC2,(GC2),e,AdTech,126,161,115,18: GC2
GD7,(GD7),i,AdTech,136,105,126,31: GD7
GC3,(GC3),e,AdTech,128,150,118,19: GC3
GC4,(GC4),e,AdTech,128,138,122,20: GC4
GC6,(GC6),e,AdTech,128,117,129,22: GC6
GF2,(GF2),e,AdTech,150,153,87,42: GF2
GF4,(GF4),e,AdTech,153,133,98,44: GF4
GC7,(GC7),i,AdTech,128,107,131,23: GC7
GC8,(GC8),i,AdTech,128,95,133,24: GC8
GD1,(GD1),e,AdTech,134,169,103,25: GD1
GF6,(GF6),e,AdTech,154,112,108,46: GF6
GD8,(GD8),i,AdTech,136,93,127,32: GD8
GF7,(GF7),e,AdTech,154,101,112,47: GF7
GF8,(GF8),e,AdTech,154,91,114,48: GF8
GD2,(GD2),e,AdTech,137,158,107,26: GD2
GE3,(GE3),e,AdTech,145,146,105,35: GE3
GD3,(GD3),e,AdTech,137,148,112,27: GD3
GD4,(GD4),e,AdTech,138,137,116,28: GD4
GE1,(GE1),e,AdTech,141,167,93,33: GE1
GE2,(GE2),e,AdTech,143,156,99,34: GE2
GE4,(GE4),e,AdTech,146,136,107,36: GE4
GE5,(GE5),e,AdTech,147,125,111,37: GE5
GE6,(GE6),e,AdTech,147,115,114,38: GE6
GE7,(GE7),e,AdTech,147,103,119,39: GE7
GA1,(GA1),e,AdTech,107,175,124,1: GA1
GA2,(GA2),e,AdTech,107,163,128,2: GA2
GA3,(GA3),e,AdTech,108,152,131,3: GA3
GA4,(GA4),e,AdTech,108,141,132,4: GA4
GA5,(GA5),e,AdTech,108,130,135,5: GA5
GA6,(GA6),e,AdTech,108,119,139,6: GA6
GA7,(GA7),e,AdTech,106,108,142,7: GA7
GA8,(GA8),e,AdTech,104,97,142,8: GA8
IHA1,(IHA1),e,AdTech,91,152,94,49: IHA1
IHA2,(IHA2),e,AdTech,90,147,104,50: IHA2
IHA3,(IHA3),e,AdTech,90,143,115,51: IHA3
IHA4,(IHA4),e,AdTech,92,137,127,52: IHA4
IHB4,(IHB4),e,AdTech,91,100,136,56: IHB4
IHB2,(IHB2),i,AdTech,89,109,111,54: IHB2
IHB3,(IHB3),i,AdTech,89,105,123,55: IHB3
IHB1,(IHB1),i,AdTech,88,113,100,53: IHB1
IHC1,(IHC1),e,AdTech,91,85,95,57: IHC1
IHC3,(IHC3),e,AdTech,90,85,121,59: IHC3
IHC4,(IHC4),e,AdTech,90,85,135,60: IHC4
IHC2,(IHC2),e,AdTech,90,85,110,58: IHC2
