electrode_array,name,focus_relat,supplier,x,y,z,ch. in rec 1
GB1,(GB1),e,AdTech,55,139,32,9: GB1
GB2,(GB2),e,AdTech,48,137,40,10: GB2
GB3,(GB3),e,AdTech,40,133,49,11: GB3
GB4,(GB4),e,AdTech,35,128,58,12: GB4
GA1,(GA1),e,AdTech,56,147,37,1: GA1
GA2,(GA2),e,AdTech,51,144,47,2: GA2
GA3,(GA3),e,AdTech,44,142,55,3: GA3
GA4,(GA4),e,AdTech,38,138,64,4: GA4
GA5,(GA5),e,AdTech,34,136,74,5: GA5
GA6,(GA6),e,AdTech,32,131,84,6: GA6
GA7,(GA7),e,AdTech,30,126,94,7: GA7
GA8,(GA8),e,AdTech,30,122,103,8: GA8
GB8,(GB8),e,AdTech,27,113,98,16: GB8
GC3,(GC3),e,AdTech,39,122,44,19: GC3
GC5,(GC5),e,AdTech,29,116,63,21: GC5
GC6,(GC6),e,AdTech,27,113,73,22: GC6
GC1,(GC1),i,AdTech,53,130,26,17: GC1
GD4,(GD4),e,AdTech,31,109,48,28: GD4
GD2,(GD2),e,AdTech,42,116,31,26: GD2
GB5,(GB5),e,AdTech,31,127,68,13: GB5
GB6,(GB6),e,AdTech,28,123,78,14: GB6
GB7,(GB7),e,AdTech,27,117,88,15: GB7
GC4,(GC4),e,AdTech,33,119,53,20: GC4
GC2,(GC2),i,AdTech,46,127,35,18: GC2
GC7,(GC7),e,AdTech,26,108,83,23: GC7
GC8,(GC8),e,AdTech,26,103,92,24: GC8
GD1,(GD1),i,AdTech,49,119,25,25: GD1
GD3,(GD3),e,AdTech,38,112,39,27: GD3
GD5,(GD5),e,AdTech,27,107,57,29: GD5
GD6,(GD6),e,AdTech,24,103,68,30: GD6
GD7,(GD7),e,AdTech,25,99,78,31: GD7
GD8,(GD8),e,AdTech,25,95,88,32: GD8
HR6,(HR6),e,AdTech,119,103,58,94: HR6
HR7,(HR7),e,AdTech,119,98,61,95: HR7
HR8,(HR8),e,AdTech,119,93,64,96: HR8
HR9,(HR9),e,AdTech,119,89,67,97: HR9
HR10,(HR10),e,AdTech,118,84,70,98: HR10
HR4,(HR4),i,AdTech,120,111,52,92: HR4
HR5,(HR5),i,AdTech,119,107,55,93: HR5
HR2,(HR2),i,AdTech,121,120,45,90: HR2
HR1,(HR1),i,AdTech,121,125,41,89: HR1
HR3,(HR3),i,AdTech,120,116,48,91: HR3
HL1,(HL1),e,AdTech,74,133,40,51: HL1
HL2,(HL2),e,AdTech,74,129,44,52: HL2
HL3,(HL3),e,AdTech,75,124,47,53: HL3
HL4,(HL4),e,AdTech,75,119,49,54: HL4
HL5,(HL5),e,AdTech,74,115,52,55: HL5
HL6,(HL6),e,AdTech,74,111,54,56: HL6
HL7,(HL7),e,AdTech,72,106,57,57: HL7
HL8,(HL8),e,AdTech,72,101,59,58: HL8
HL9,(HL9),e,AdTech,71,97,62,59: HL9
HL10,(HL10),e,AdTech,71,92,65,60: HL10
TLA1,(TLA1),e,AdTech,75,120,35,33: TLA1
TLA2,(TLA2),e,AdTech,75,129,31,34: TLA2
TLA3,(TLA3),e,AdTech,74,138,28,35: TLA3
TLA4,(TLA4),e,AdTech,65,141,27,36: TLA4
BLA1,(BLA1),i,AdTech,76,109,44,37: BLA1
BLA2,(BLA2),i,AdTech,72,115,37,38: BLA2
BLA3,(BLA3),i,AdTech,69,119,28,39: BLA3
BLA4,(BLA4),e,AdTech,63,126,21,40: BLA4
BLB1,(BLB1),i,AdTech,-,-,-,41: BLB1
BLB2,(BLB2),i,AdTech,-,-,-,42: BLB2
BLB3,(BLB3),i,AdTech,-,-,-,43: BLB3
BLB4,(BLB4),e,AdTech,-,-,-,44: BLB4
BLC3,(BLC3),e,AdTech,71,96,48,47: BLC3
BLC4,(BLC4),e,AdTech,68,103,42,48: BLC4
BLC5,(BLC5),e,AdTech,62,112,32,49: BLC5
BLC6,(BLC6),e,AdTech,59,116,24,50: BLC6
BLC1,(BLC1),e,AdTech,78,82,63,45: BLC1
BLC2,(BLC2),e,AdTech,75,90,55,46: BLC2
TRA1,(TRA1),e,AdTech,150,136,64,61: TRA1
TRA2,(TRA2),e,AdTech,151,126,63,62: TRA2
TRA3,(TRA3),e,AdTech,149,115,63,63: TRA3
TRA4,(TRA4),e,AdTech,148,106,63,64: TRA4
TRB1,(TRB1),e,AdTech,155,128,79,65: TRB1
TRB2,(TRB2),e,AdTech,155,121,73,66: TRB2
TRB3,(TRB3),e,AdTech,152,112,69,67: TRB3
TRB4,(TRB4),e,AdTech,149,105,62,68: TRB4
TRC1,(TRC1),e,AdTech,144,53,65,69: TRC1
TRC2,(TRC2),e,AdTech,149,61,63,70: TRC2
TRC3,(TRC3),e,AdTech,154,70,60,71: TRC3
TRC4,(TRC4),e,AdTech,155,80,57,72: TRC4
TRC5,(TRC5),e,AdTech,153,91,55,73: TRC5
