electrode_array,name,focus_relat,supplier,x,y,z,ch. in rec 1
GB6,(GB6),e,AdTech,151,123,55,14: GB6
GB7,(GB7),e,AdTech,146,132,53,15: GB7
GB8,(GB8),e,AdTech,140,142,50,16: GB8
GC1,(GC1),e,AdTech,155,76,86,17: GC1
GC2,(GC2),e,AdTech,158,86,81,18: GC2
GC3,(GC3),e,AdTech,159,96,79,19: GC3
GC4,(GC4),e,AdTech,158,106,75,20: GC4
GC5,(GC5),e,AdTech,155,117,70,21: GC5
GC6,(GC6),e,AdTech,152,127,67,22: GC6
GC7,(GC7),e,AdTech,147,137,64,23: GC7
GC8,(GC8),e,AdTech,142,145,61,24: GC8
GD1,(GD1),e,AdTech,155,80,97,25: GD1
GD2,(GD2),e,AdTech,158,89,94,26: GD2
GD3,(GD3),e,AdTech,159,99,90,27: GD3
GD4,(GD4),e,AdTech,158,109,86,28: GD4
GD5,(GD5),l,AdTech,155,120,83,29: GD5
GD6,(GD6),l,AdTech,152,129,77,30: GD6
GA1,(GA1),e,AdTech,150,68,65,1: GA1
GA2,(GA2),e,AdTech,153,78,60,2: GA2
GA3,(GA3),e,AdTech,155,87,57,3: GA3
GA4,(GA4),e,AdTech,156,97,52,4: GA4
GA5,(GA5),e,AdTech,153,107,47,5: GA5
GA6,(GA6),e,AdTech,149,117,46,6: GA6
GA7,(GA7),i,AdTech,144,127,40,7: GA7
GA8,(GA8),e,AdTech,138,138,38,8: GA8
GB1,(GB1),e,AdTech,152,73,75,9: GB1
GB2,(GB2),e,AdTech,156,82,71,10: GB2
GB3,(GB3),e,AdTech,157,92,67,11: GB3
GB4,(GB4),e,AdTech,158,101,63,12: GB4
GB5,(GB5),e,AdTech,155,112,59,13: GB5
GD7,(GD7),l,AdTech,148,139,77,31: GD7
GD8,(GD8),l,AdTech,143,149,74,32: GD8
TBA4,(TBA4),i,AdTech,132,134,26,36: TBA4
TBA1,(TBA1),i,AdTech,108,128,41,33: TBA1
TBA2,(TBA2),i,AdTech,113,131,30,34: TBA2
TBA3,(TBA3),i,AdTech,123,134,24,35: TBA3
TBB1,(TBB1),i,AdTech,108,119,43,37: TBB1
TBB2,(TBB2),i,AdTech,116,116,36,38: TBB2
TBB3,(TBB3),e,AdTech,126,117,29,39: TBB3
TBB4,(TBB4),e,AdTech,137,120,29,40: TBB4
TBC1,(TBC1),e,AdTech,101,62,65,41: TBC1
TBC2,(TBC2),e,AdTech,108,69,61,42: TBC2
TBC3,(TBC3),e,AdTech,115,76,56,43: TBC3
TBC4,(TBC4),e,AdTech,121,84,51,44: TBC4
TBC5,(TBC5),e,AdTech,127,91,45,45: TBC5
TBC6,(TBC6),e,AdTech,134,99,41,46: TBC6
