electrode_array,name,artifact,supplier,x,y,z,ch. in rec 1
TLA4,(TLA4),e,AdTech,41,116,33,4: TLA4
TLA1,(TLA1),i,AdTech,65,133,19,1: TLA1
TLA2,(TLA2),i,AdTech,57,128,20,2: TLA2
TLA3,(TLA3),e,AdTech,49,123,26,3: TLA3
TLB1,(TLB1),e,AdTech,44,147,40,5: TLB1
TLB4,(TLB4),i,AdTech,34,120,46,8: TLB4
TLB2,(TLB2),i,AdTech,39,138,42,6: TLB2
TLB3,(TLB3),i,AdTech,36,129,43,7: TLB3
TLC2,(TLC2),e,AdTech,28,104,93,10: TLC2
TLC3,(TLC3),e,AdTech,27,105,85,11: TLC3
TLC5,(TLC5),e,AdTech,30,101,64,13: TLC5
TLC6,(TLC6),e,AdTech,30,101,53,14: TLC6
TLC1,(TLC1),e,AdTech,27,106,103,9: TLC1
TLC4,(TLC4),e,AdTech,28,103,73,12: TLC4
TBA1,(TBA1),e,AdTech,73,119,36,25: TBA1
TBA3,(TBA3),e,AdTech,54,112,33,27: TBA3
TBA4,(TBA4),e,AdTech,43,107,36,28: TBA4
TBA2,(TBA2),e,AdTech,64,113,35,26: TBA2
TBB1,(TBB1),e,AdTech,71,109,43,29: TBB1
TBB3,(TBB3),e,AdTech,52,104,34,31: TBB3
TBB4,(TBB4),e,AdTech,41,104,35,32: TBB4
TBB2,(TBB2),e,AdTech,62,105,38,30: TBB2
TBC2,(TBC2),e,AdTech,72,67,57,34: TBC2
TBC3,(TBC3),e,AdTech,65,74,53,35: TBC3
TBC5,(TBC5),e,AdTech,52,90,44,37: TBC5
TBC1,(TBC1),e,AdTech,79,62,61,33: TBC1
TBC4,(TBC4),e,AdTech,59,82,48,36: TBC4
TBC6,(TBC6),e,AdTech,43,98,42,38: TBC6
HR3,(HR3),e,AdTech,70,127,42,17: HR3
HR5,(HR5),e,AdTech,71,121,48,19: HR5
HR6,(HR6),e,AdTech,71,116,50,20: HR6
HR7,(HR7),e,AdTech,70,110,55,21: HR7
HR9,(HR9),e,AdTech,69,101,61,23: HR9
HR10,(HR10),e,AdTech,68,94,65,24: HR10
HR2,(HR2),e,AdTech,70,132,39,16: HR2
HR1,(HR1),e,AdTech,70,136,36,15: HR1
HR4,(HR4),e,AdTech,70,123,46,18: HR4
HR8,(HR8),e,AdTech,70,105,58,22: HR8
